category,gauss,random
B,0.45385057870988676,1
A,0.3217400492860688,6
D,0.1828359974477468,0
A,0.29911395516081807,8
C,0.39766690451383524,9
B,0.9053280312443975,5
A,0.8491522099734163,8
C,0.7404031307796972,0
A,0.6230021529051987,2
D,0.8548716154812269,7
A,0.3657353079091469,7
B,0.08229460866249616,0
A,0.8210511405703939,6
A,0.4641582489977891,1
B,0.6248181965998487,4
A,0.022077510226012564,0
A,0.45097854716220254,0
A,0.17296199919956534,5
A,0.8987717031364354,9
A,0.5315877863897248,9
A,0.40361459027996616,3
D,0.8967646268412803,1
A,0.08586828321583184,3
A,0.3945403314827789,1
A,0.8142881725477168,5
A,0.5043158852186722,0
C,0.6849940226495284,7
A,0.6476621941495719,8
C,0.1021598151059786,6
B,0.8838860838794146,4
A,0.3431019040481419,3
B,0.6982285367575571,9
D,0.9806675478210647,4
A,0.7115305881477425,2
A,0.28440444222523453,5
B,0.8155490905162356,5
A,0.11625301995855297,9
A,0.06591871864492305,7
B,0.472088498358587,0
D,0.5558072864654419,3
B,0.6539132491377001,6
B,0.23829323169320138,4
D,0.4592810502505269,8
A,0.5197790404621643,6
A,0.32014203903848504,5
A,0.43407764179156605,1
C,0.07461153668693876,3
D,0.02296875274358212,8
A,0.4626553383067793,2
B,0.1743511714443181,5
D,0.5892355010740261,6
A,0.8520032166380381,1
B,0.2762135414899709,8
A,0.96970189351129,0
B,0.4017060685454379,1
D,0.7100194189181339,3
A,0.6568656843801828,4
A,0.329688567619143,1
A,0.7549938222018684,9
B,0.0027911379920880774,5
B,0.331395783881016,6
A,0.26146396689676954,0
A,0.26487385768354854,2
B,0.37093433293725975,5
B,0.19689926057988094,6
B,0.2057019620094298,5
A,0.38882814504822005,5
A,0.47846941991839487,3
D,0.6236486115529241,0
A,0.6425717402804597,1
C,0.7384037098103743,5
A,0.4533361523860674,6
A,0.3640833561469543,5
B,0.5210317466530446,2
C,0.09909553724051012,9
A,0.6809942864429591,5
C,0.9396920045126886,7
B,0.3881008243755599,1
A,0.613038964182373,3
A,0.8017854634716295,4
A,0.5349172446571637,9
A,0.24750427277951725,9
B,0.7384212273978762,5
D,0.598890221666531,7
A,0.5414159992390143,4
A,0.5614898364380955,0
C,0.2267628663593747,5
C,0.3661900545810779,3
B,0.21346339986118068,6
C,0.30770170427864074,3
C,0.7647487671449433,4
B,0.695906406710208,2
B,0.22250800508124047,4
A,0.12551410106652616,4
B,0.7197124174627662,4
A,0.8385781535055642,0
B,0.4489431232280755,0
D,0.45300113943057263,9
D,0.9552864970327454,5
A,0.9118899620493214,1
A,0.8583392151398564,1
A,0.9235772940023144,2
B,0.774667993346927,0
A,0.7156691361871278,2
C,0.22241003432844453,8
B,0.51567717775412,5
B,0.8612065904470049,8
B,0.5706500477582758,6
C,0.2562731766894768,2
A,0.4360749056730766,6
A,0.19903623970386541,3
A,0.46860721351815704,6
A,0.6602080574277573,3
A,0.983421325621107,5
A,0.6778957347623704,3
B,0.71168046931377,1
A,0.786896530249217,7
A,0.5071382988594554,8
A,0.2940796442720548,7
B,0.8189080988468035,5
A,0.5308674038108808,8
B,0.11051807677268011,3
D,0.604214755111244,0
A,0.5864235113041077,1
A,0.7605411118581737,2
A,0.3268555094534178,0
D,0.8436137545245552,3
A,0.9753995577963701,8
A,0.9002271241965271,5
B,0.13419911833254639,2
B,0.5808917484876509,8
C,0.97462381247889,4
A,0.26945457216007696,4
A,0.8429070078849387,1
B,0.710772770999467,9
D,0.8791452464284324,6
A,0.0033471574493605383,6
A,0.0036943750841879064,3
D,0.976105113398354,7
A,0.3390723378792869,9
D,0.7499691441801664,9
B,0.6741329036651249,4
B,0.4055463732511808,4
B,0.6354725692870292,0
B,0.05874914652947116,9
B,0.7704390998612884,3
A,0.7318428752697622,5
A,0.6526230765841411,7
A,0.6447444844901152,8
B,0.4146982525940782,0
A,0.8610075076488614,5
D,0.40149256801490874,5
B,0.3261808373838416,2
B,0.8940044183417672,1
A,0.7038186890133755,2
A,0.7180830078420215,4
C,0.2954200603284324,2
B,0.605942702512796,7
A,0.3616874474676496,3
B,0.9087567923008533,9
B,0.7709408852401743,5
B,0.4239370540117696,1
A,0.20832336514178706,4
A,0.8301482302485403,3
A,0.28703254176905557,2
C,0.21949579777152928,2
B,0.15970548735208212,1
A,0.029344131315481747,4
B,0.5507477741769576,2
A,0.29459593353663194,3
A,0.9032252170354904,0
A,0.6728465435316493,9
B,0.2920971009596286,0
D,0.24410688399431268,1
B,0.6318413155033613,5
B,0.12349866677154464,5
C,0.9298810311091301,1
C,0.19030569665161512,0
B,0.7549516733370597,0
D,0.8809782448523852,2
A,0.1713920160723882,6
C,0.7558122498131153,6
A,0.6189341461381798,9
B,0.47324890741204684,8
D,0.3349449566858549,8
A,0.6483102258281238,8
C,0.4041152021325015,9
A,0.3508334466795584,1
A,0.005939437930117086,9
A,0.8675071173586176,2
D,0.48052598182783224,3
D,0.052276091382522316,3
B,0.7952784256397867,5
B,0.40896047939337354,3
A,0.7342213247036453,9
A,0.9942420256333391,2
B,0.7265482990020317,0
D,0.7939172909462923,0
A,0.9220469722489443,5
A,0.6860879497991775,9
B,0.48042453334485524,1
D,0.663653765999581,1
A,0.7269811852924596,6
A,0.9674542419007859,7
B,0.18230181909807353,3
D,0.7650536628694998,3
A,0.9373940163944923,1
D,0.944227534269723,0
B,0.5562145774859165,3
A,0.9546074833895213,6
A,0.13877732096915096,1
D,0.01752486403465603,4
A,0.849894426782211,2
A,0.4240311124380617,8
A,0.928619440218177,1
A,0.11440247956047433,0
A,0.5167845666246408,8
B,0.8100433424245139,5
B,0.8702123752014732,9
C,0.09463024082441673,7
A,0.36408685475404945,5
A,0.40974509042962537,7
A,0.30598354076450573,2
A,0.31734397685149174,0
D,0.32043813313963,3
D,0.38778844177338045,0
C,0.21310056787561593,2
D,0.4758780346128978,6
B,0.06676077534950264,7
D,0.8588441413287464,1
D,0.7135766708366733,3
B,0.5515847131945236,3
D,0.05171222151371235,9
A,0.5187682059922439,3
A,0.21485201224835582,2
A,0.7464139070470425,3
A,0.07422646466506033,8
B,0.9068548733469258,3
B,0.9534672358097126,9
B,0.2417520924846258,0
A,0.22944339758736387,4
A,0.3548923140282031,2
B,0.739147210090935,7
B,0.37613889743263595,6
A,0.07230571265522101,7
A,0.28621128538048424,6
A,0.905170985868164,8
D,0.22718213417575917,4
B,0.15246112208971907,0
A,0.3958197202952679,3
A,0.16536498552076617,7
D,0.9059391135307406,5
A,0.04613557492936948,5
D,0.1277088203810185,3
B,0.7972585306973718,1
B,0.32123807412046157,8
A,0.46455713147767674,6
A,0.6318700712308807,1
A,0.29213441368178206,1
B,0.838259255115677,9
A,0.03380739668875066,5
A,0.2027948052714068,7
A,0.3999769947939745,5
A,0.5542770139342955,1
A,0.9019407398603808,4
A,0.9260359863142622,3
B,0.9078201188338647,2
B,0.37620492812693296,7
A,0.9285698305070629,3
A,0.40867115236512375,2
B,0.9647775984183316,0
D,0.6351830048307981,1
A,0.5269558851065217,0
A,0.10914554452711334,1
A,0.5055428799527615,9
A,0.9785957199651798,0
A,0.2459870000354083,1
D,0.3226264498718737,0
D,0.060095666493163225,3
A,0.41062791070845206,7
B,0.7809486200067032,1
D,0.28944309181305017,2
D,0.5179465731831205,1
B,0.7202296119422757,9
A,0.610844217767509,1
C,0.6783750662177048,8
A,0.7760103478573416,3
B,0.5616455553471362,2
B,0.5781008732565432,8
B,0.10185092525461148,1
B,0.5118116860354753,3
A,0.8711811371259703,5
A,0.789712684554234,2
A,0.5755443770912565,7
A,0.2896178128228054,1
B,0.28668575988695333,2
B,0.6851363143227973,4
A,0.20605005987270153,8
C,0.7903760310698587,9
A,0.6996967928822706,9
A,0.45237942141351173,7
A,0.998996339751008,3
B,0.3742429984490344,8
A,0.40251562332260216,9
A,0.8462387788856527,4
A,0.13527262741186985,1
A,0.5003361647505056,0
D,0.4714191340473789,0
A,0.0677683534571335,3
D,0.6319122960502952,2
D,0.9325220743414888,7
D,0.37251460026539207,5
A,0.020315389283153795,5
A,0.48085884968003345,0
A,0.13219860297863772,8
B,0.7793722329860333,8
B,0.505812624242491,6
A,0.13735202305347127,5
C,0.495494977477152,3
B,0.8795209423301185,4
A,0.6398887152128786,5
B,0.29383475396379477,2
C,0.08476992811690465,8
A,0.30441541118373694,9
A,0.004843253562709204,9
B,0.6220051013729316,6
A,0.7769608196790276,8
A,0.6372111426098286,2
D,0.29481730819962393,5
A,0.3480618478590035,5
A,0.36919884887353593,6
A,0.91072050547466,2
B,0.19007222171475213,2
B,0.4276756005215675,4
A,0.018603945335255,6
B,0.7169515906825924,3
B,0.11011858539563213,0
A,0.2368958034087777,9
A,0.18300850116992118,0
C,0.8401778168597065,1
A,0.8471587654964299,2
A,0.952170423919765,1
D,0.6501003599231917,7
B,0.4370916798456579,0
C,0.13233153163039924,1
B,0.19214438182170968,9
D,0.618507139820205,7
B,0.7488436065348433,5
B,0.60394469349438,7
C,0.11047708714358673,4
A,0.3471203925504657,1
B,0.6494122887706061,4
B,0.40246211465898796,6
A,0.8175490918598373,0
A,0.6568050532672556,0
A,0.365758735946745,6
D,0.7026865296788566,3
A,0.2041791847240919,1
B,0.6391404518771059,5
A,0.07185512657994819,8
D,0.4991209273583719,9
D,0.9025862630277065,4
B,0.053411039359094414,8
C,0.9715139874699011,9
D,0.8403993089799952,5
B,0.6626137972487728,0
B,0.13583082395121548,9
B,0.597778706773993,6
A,0.22265092080624949,5
A,0.20129211455786344,6
C,0.009298133986601398,1
A,0.8039172221280049,3
D,0.0462042506856678,4
C,0.0366581472926949,6
B,0.7593283115598404,6
A,0.11557144790235285,1
C,0.4145128514093033,7
D,0.16346114056456174,9
A,0.18504031826938316,7
B,0.9986424145834748,8
A,0.99611970657773,3
D,0.8787327826609316,1
C,0.9902065589581645,2
B,0.9940390936455371,6
C,0.31785415648411663,0
C,0.2977858999615882,4
B,0.9229771762293411,1
D,0.8458248489777507,4
B,0.8215595963079529,6
C,0.46509045600049803,7
D,0.9890964354494961,1
A,0.29211514453275544,5
A,0.07190433387144246,8
C,0.6269141326245512,5
A,0.7785219871823847,1
D,0.4647903341380051,2
D,0.7412049304994073,1
C,0.006112173750236871,3
B,0.4358160330349452,7
A,0.08345169064492519,0
A,0.13303623299205813,0
B,0.7720216285350538,7
A,0.9190450857476441,9
A,0.8148642626005463,6
B,0.6995694804130124,8
C,0.44275672889263884,6
A,0.2048487562532414,8
A,0.630922750965174,7
D,0.755717762007809,8
A,0.6382492339805315,1
A,0.28240671934535455,5
B,0.45861558624064824,8
A,0.8316041700186605,3
B,0.44646859077496437,5
B,0.5923667171661711,8
A,0.313700558898402,8
A,0.13183492195388635,8
B,0.8713119298008853,4
A,0.6330844967607053,5
B,0.4132610347166069,6
D,0.23793497761137894,1
C,0.0635052903365253,2
C,0.5237913404808069,8
B,0.09030536089583163,8
A,0.695831161600062,3
B,0.2659235610001708,5
B,0.7337253141646,6
A,0.3708635747937131,8
A,0.5417140875869803,9
B,0.7047394274750682,4
B,0.5472849800859612,8
B,0.9415225418303526,5
A,0.32168604783861476,2
A,0.2284687691306645,6
B,0.00768379235329586,1
A,0.11784033143771744,8
A,0.2868016727146563,0
A,0.16668303710309562,5
C,0.2639832772174854,1
A,0.8529665389076307,7
A,0.597150095528873,0
A,0.08651419717634634,9
A,0.7809789119225601,0
A,0.5041346270876488,8
A,0.019187125024702656,2
A,0.4361645623616116,3
A,0.4322558363982957,7
A,0.28085258008913905,7
D,0.7453298095080216,6
A,0.7565677752474579,2
B,0.26811663122117513,4
B,0.43049734993135846,2
A,0.9398379921233166,8
C,0.8920161171527569,5
B,0.645727095166006,4
C,0.04738691516539695,3
B,0.8054862127249656,0
A,0.8145935236551946,4
B,0.7361591970006104,6
C,0.5706700496584025,9
A,0.4194283189727972,3
C,0.885120700740422,3
D,0.8778027642035611,4
A,0.72959477291842,9
D,0.1097016374237968,9
B,0.6463704101820218,4
A,0.15325978030728993,8
A,0.6618624496192889,1
A,0.08029389429722289,5
C,0.8818311197628436,8
B,0.4654313314144678,6
C,0.29954530662947987,8
A,0.13746028656854092,4
B,0.7169949050084088,3
B,0.6093693075583921,1
B,0.6020227674636177,7
B,0.45962280375055686,5
A,0.17250908838716317,5
C,0.4062959816225682,5
A,0.181660468644814,4
C,0.220216995080166,7
D,0.2070739199840934,5
C,0.08713058533048845,8
B,0.3083750309729102,6
B,0.14169617754089792,5
D,0.41518388326397626,0
B,0.016454732368040847,9
A,0.6618051401808743,2
B,0.4251980610998718,8
A,0.056232874773257446,4
C,0.559681298415486,9
A,0.013891376944252354,1
D,0.7479130499673439,8
B,0.6099831947099233,0
D,0.714720243719595,4
D,0.5512091459990635,5
B,0.2260946946212843,4
D,0.6330405181220515,6
A,0.6002321493346091,2
C,0.3641280597483256,6
B,0.6360901747837706,9
C,0.8546499216938255,5
A,0.3156542979196011,7
A,0.4627929607651027,4
B,0.43489429991690964,9
D,0.10950115982801456,1
B,0.8664627996846913,2
A,0.6177975701360242,6
B,0.05124584138897925,3
A,0.1170225766996601,4
D,0.8561384554829436,1
A,0.7493138101091295,4
D,0.8343861372345779,7
A,0.8854472356505212,3
A,0.18493874839907998,5
B,0.22228731809415236,1
B,0.12943649999047602,5
A,0.39781561877498317,9
C,0.7608190431775306,0
A,0.34667218226648355,5
B,0.7714426158602832,4
A,0.24580067597711108,6
B,0.6616481115512453,5
A,0.6011312710170903,6
A,0.8059182714421612,9
D,0.16917612092773393,5
B,0.10719049185410479,5
B,0.527962411963275,7
A,0.2660863602956469,8
A,0.7615700849987258,3
B,0.7594377043803593,0
A,0.14200774298715646,7
A,0.5529788378527365,5
A,0.8227482233055566,4
A,0.7768027166360479,5
A,0.10509218303778078,4
B,0.49988275628798895,8
D,0.13022010627779168,5
A,0.44570734112533783,0
C,0.49625721003875356,9
A,0.16877474244613555,7
D,0.5622999864740573,4
D,0.6923107639256315,7
A,0.1545680827915057,6
B,0.8317618684496912,4
D,0.08168038056701354,0
B,0.3914437000117471,6
B,0.6537142845133311,6
A,0.7793250552335809,1
B,0.07859336415377505,8
A,0.8260101798357762,1
A,0.05139486361885204,9
A,0.756149552689246,6
A,0.7157245127483268,2
B,0.43769156075981885,5
C,0.03326644326318828,8
B,0.15139085323150325,1
B,0.07237456983677215,2
A,0.6876189974537006,0
A,0.9374711352848207,6
A,0.8344963167761416,7
A,0.6282519631792657,1
A,0.2650002518346902,1
A,0.3316280928425246,8
A,0.00723455909343973,9
A,0.8313542074524026,9
A,0.9789594263850303,2
D,0.5527830125927624,2
A,0.1369216333020219,5
B,0.7271255741545388,1
C,0.674612341477688,6
A,0.06915606778691441,3
D,0.7795258648832766,6
A,0.22158885174484666,7
A,0.9003015225752325,0
B,0.472043448165564,7
A,0.5133563692339125,9
D,0.03635913488370601,5
C,0.003654046928593835,5
B,0.32470417062114454,9
A,0.5671000223825604,3
C,0.11227268317746697,8
A,0.4178856732718518,7
A,0.6659040575930765,4
A,0.8224211333819986,1
D,0.38330621168647483,2
A,0.29903868969794634,1
B,0.3605722029072512,7
A,0.7862739977500738,0
C,0.41396631655803295,6
D,0.13562024718247712,0
A,0.8755833867298966,7
A,0.2309727694210284,5
A,0.5235105430395718,2
B,0.490902837015729,3
A,0.3391452646117936,9
B,0.2992306513810753,3
A,0.0312600829801406,5
A,0.8175157849379419,6
A,0.9020634113316783,2
A,0.4312250426928219,4
D,0.7660579842318862,9
B,0.2633694975244192,2
A,0.25568609242170537,8
C,0.3716118448614487,9
A,0.00879776783599151,9
A,0.8271883734379424,8
A,0.9239755794479525,2
B,0.569913471123066,1
A,0.2212793291765318,0
A,0.03923516313406694,6
D,0.3794301275017379,4
A,0.7826162102691879,8
C,0.08327989499473365,9
A,0.9468521501575278,1
B,0.10793419032884066,3
A,0.9487153655478183,4
D,0.2875457503073682,5
A,0.2547035674893916,4
A,0.5210437212348503,2
C,0.939186112034269,8
A,0.6102774412697684,6
D,0.9063296781865192,7
A,0.7243400133050896,5
A,0.8741318195610183,5
A,0.22010014147412482,7
D,0.45114075546995935,6
A,0.4164728925130451,3
D,0.36193751958825526,7
A,0.050338128325436604,2
A,0.6549573260394961,1
A,0.6104987985400175,3
A,0.2318757320577598,6
B,0.21239753822241103,8
B,0.032773180873088004,6
B,0.6303567336535116,1
A,0.9993712006429816,2
A,0.2656054899921616,0
A,0.9320985493086996,6
A,0.8490301246344284,4
A,0.3639920740789617,9
A,0.6248592755498907,9
A,0.869544440788281,8
D,0.18920002604431363,4
D,0.1932610632551598,9
C,0.7610247776724434,9
A,0.49028206987204637,8
A,0.38200190997832695,2
A,0.5980670198999436,0
A,0.9279976003634062,8
A,0.4694997988869578,9
B,0.4131136051171176,7
A,0.6518455761352764,5
A,0.3872352124095009,2
B,0.31227009602193545,0
B,0.2819106007944787,6
A,0.20440444802224844,1
B,0.013394681436092903,5
D,0.36057569571448567,5
D,0.21337836418187994,1
A,0.750007010216045,0
B,0.8250659296142956,3
B,0.6237543001637236,9
D,0.48736678151630164,8
C,0.594386971678509,4
B,0.4412321769245139,9
A,0.5924347851165154,0
D,0.3845537057712146,2
C,0.09902605414500631,8
A,0.20295411768746063,8
B,0.3151943836073564,8
B,0.5592051664434244,5
D,0.6267623376922807,6
A,0.09175693433157384,6
C,0.42171968296566287,3
A,0.09884862317008891,4
B,0.15648477093698487,2
A,0.28832431172234174,7
A,0.34608166948882224,7
D,0.04810800673192084,9
B,0.9141988999230094,1
D,0.9790334151396759,1
D,0.6511083972956793,3
C,0.1223218621917378,2
C,0.3840815918810281,5
B,0.1671930566113906,4
A,0.5631648007496486,2
A,0.3526224282287771,0
B,0.5816907993367583,4
A,0.8206525985964128,9
B,0.13823630299351863,3
A,0.5164501213163226,5
A,0.9922124663292516,6
C,0.43889390012066887,1
A,0.6606671669928931,0
B,0.47100877401661156,2
A,0.1813107838804514,0
B,0.050393424802236075,9
A,0.13906977059861458,1
B,0.8537003056743991,0
A,0.05350716399002542,7
C,0.8681731427853666,8
C,0.4163983539539099,6
B,0.5447477986771283,9
A,0.5400903000170671,5
A,0.8137046956348818,7
A,0.47753953041615227,6
A,0.4815270184907592,4
B,0.6070637816557702,8
A,0.6102023393688694,6
A,0.44610599097537096,8
D,0.47160101581804115,1
B,0.8971281847631855,6
A,0.9794998065704983,9
A,0.4588786602135517,0
C,0.8243737138427113,9
A,0.7749215015455061,8
A,0.04935871346300613,8
B,0.7866090099422095,3
A,0.1392619603727403,0
B,0.41567688388938584,8
A,0.2094846178324432,9
A,0.9554795883472137,1
A,0.2766909618076192,3
A,0.3944875964425685,6
B,0.7126678415441213,3
C,0.2572619880791377,9
C,0.2503559447843804,9
D,0.5810192149959477,5
D,0.36250972113428015,0
A,0.11549716170502189,7
A,0.311372864273026,5
B,0.7124012404581836,4
B,0.47541433330453065,3
B,0.0017665408936491378,4
B,0.5211135476374708,9
A,0.4311776673346204,7
A,0.22924578571529075,5
A,0.7703285646647096,2
C,0.2859451230892943,0
A,0.13714383052194912,2
C,0.9373543326028351,7
A,0.11181555185465286,0
D,0.9320605720870253,1
A,0.9220213505299453,9
A,0.8018676569945549,6
A,0.7353997152153626,3
D,0.5464622922023045,1
A,0.24360748575730184,7
B,0.4569654715687551,1
B,0.12715171223779664,2
D,0.22388944372176067,4
A,0.6474708409104895,4
D,0.5077704395547201,7
A,0.5017997310327489,3
C,0.2349914455308585,3
D,0.8313484730180332,9
D,0.7792519600588252,3
A,0.22624096226113655,7
A,0.4880174220424258,2
A,0.7626457668407588,5
A,0.5168038751703444,5
D,0.85780633821129,9
A,0.6044697771441336,0
B,0.7103998552446636,4
A,0.07396154883945849,5
A,0.14250998239762314,7
A,0.3607747020110643,0
A,0.1094316703203424,4
C,0.676832872075894,7
A,0.09649836510919774,3
A,0.37578522910475287,6
A,0.40161890510010567,5
A,0.7313143132578078,2
A,0.36702153839786855,9
B,0.1759815319132939,6
B,0.2429690306901986,7
A,0.9383793417573923,1
C,0.6013857193376079,8
A,0.23905838923375555,8
B,0.5278781088191234,2
D,0.8587290617800403,5
A,0.03089807220634666,7
D,0.6698754084907875,5
B,0.027850602028829607,0
A,0.6480667249970039,3
B,0.6565975001609577,5
A,0.8764178223219351,1
A,0.047446042118886145,6
A,0.15462680925290517,5
